16	16	12	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
49	49	52	49	50	49	49	49	49	49	49	50	49	49	49	49	50	49	50	49	49	49	49	49	49	49	49	49	50	49	49	49	49
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	41	40
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31	30	31	29	32	31	30	29	29	30	31	32	31	31	32	30	32	31	31	29	31	28	28	29	28	31	28	28	32	29	28	30	29
207	188	160	174	240	201	202	203	208	195	195	240	200	201	209	189	241	203	192	214	208	165	151	151	165	194	210	200	239	189	166	150	147
15	18	19	18	15	18	20	15	17	18	18	15	19	19	17	19	15	19	19	17	17	17	16	14	17	18	18	17	15	18	15	16	13
58	53	53	53	58	53	53	58	58	53	53	58	53	53	58	53	58	53	53	58	58	53	53	53	53	53	58	58	58	53	53	53	53
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
943	944	935	922	973	945	951	697	944	946	946	971	944	944	945	927	975	952	942	957	945	904	898	895	908	941	943	938	969	943	874	915	896
67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
51	50	49	50	49	49	50	50	49	50	51	50	50	50	50	49	50	50	50	50	50	49	49	48	50	50	50	49	49	50	50	49	48
30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
380	375	374	374	382	376	379	375	374	376	380	381	375	375	375	375	381	375	376	383	380	374	374	375	376	380	382	380	382	375	374	375	374
60	61	61	61	61	60	60	60	61	60	60	61	60	60	60	61	61	60	61	61	60	61	61	61	61	58	59	58	61	58	61	61	61
132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
17	16	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	16	17	16	16	16	17	17	17	17	17
11	11	11	9	11	11	11	11	10	11	11	11	11	11	11	8	11	11	11	8	11	8	8	8	8	8	8	8	11	8	8	8	7
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73
88	87	86	88	87	87	87	87	86	86	87	87	87	86	87	88	87	87	87	85	88	87	87	88	87	87	84	84	86	86	89	88	87
